ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Organizational Analytics,,FOUND
2,Human Resources Data,,FOUND
3,HRIS,2,FOUND
4,Relational Databases,,FOUND
5,Relational Database Limits,4,FOUND
6,Graph Databases,,FOUND
7,Graph vs Relational,4|6,FOUND
8,Graph Data Model,6,GMOD
9,Nodes,8,GMOD
10,Edges,8|9,GMOD
11,Node Properties,9,GMOD
12,Edge Properties,10,GMOD
13,Directed Graphs,9|10,GMOD
14,Undirected Graphs,9|10,GMOD
15,Directed Acyclic Graphs,13,GMOD
16,Weighted Edges,12,GMOD
17,Graph Schema Design,8|11|12,GMOD
18,Property Graph Model,8|11|12,GMOD
19,Graph Query Language,6|8,GMOD
20,Cypher Query Language,19,GMOD
21,Graph Traversals,13|19,GALG
22,Graph Database Performance,6|19,GPERF
23,Indexing in Graphs,22,GPERF
24,Graph Scalability,22|23,GPERF
25,Employee Event Streams,1|2,EVENT
26,Event Logs,25,EVENT
27,Universal Timestamps,26,EVENT
28,Event Normalization,26|27,EVENT
29,Event Enrichment,28,EVENT
30,Email Event Streams,25|26,EVENT
31,Chat Event Streams,25|26,EVENT
32,Device Activity Logs,25|26,EVENT
33,Desktop Activity,32,EVENT
34,Mobile Device Events,32,EVENT
35,Software Application Logs,32,EVENT
36,Calendar Events,25|27,EVENT
37,Meeting Patterns,36,EVENT
38,Login and Logout Events,32|27,EVENT
39,Business Process Mining,25|26,EVENT
40,Process Discovery,39,EVENT
41,Process Conformance,39|40,EVENT
42,Staging Areas,26|27,DPIPE
43,ETL for Graph Data,42|8,DPIPE
44,Data Ingestion Pipelines,43,DPIPE
45,Batch Loading,44,DPIPE
46,Stream Processing,44,DPIPE
47,Real-time Data Ingestion,46,DPIPE
48,Latency Management,47,DPIPE
49,Data Quality Checks,44,DPIPE
50,Deduplication,49,DPIPE
51,Modeling Employees,2|8|11,OMOD
52,Employee Attributes,51,OMOD
53,Employee Identifier,51|52,OMOD
54,Modeling Organizations,1|8,OMOD
55,Organization Attributes,54,OMOD
56,Organizational Hierarchy,54|13,OMOD
57,Department Structure,56,OMOD
58,Reporting Lines,56|13,OMOD
59,Modeling Communication,10|30|31,OMOD
60,Communication Channels,59,OMOD
61,Communication Frequency,59|16,OMOD
62,Communication Volume,59|61,OMOD
63,Modeling Positions,51|54,OMOD
64,Roles and Titles,63,OMOD
65,Modeling Projects,54|10,OMOD
66,Task Assignments,65|51,OMOD
67,Onboarding Data Model,51|27,OMOD
68,License Tracking,35|51,OMOD
69,Activity Types,25|26,OMOD
70,Ethics of Privacy,1|2,ETHIC
71,Data Consent,70,ETHIC
